,country,region,locality,lat,lon,id
0,USA,CA,Santa Clara,37.3706254,-121.9671894,nvidia38551
1,IND,Karnataka,Bengaluru,13.0444389,77.62019819999999,nvidia90234
2,USA,TX,Austin,30.4800048,-97.79321189999999,nvidia36945
3,IND,Maharashtra,Pune,18.5593852,73.8838105,nvidia50345
4,USA,OR,Beaverton,45.5344542,-122.8867709,nvidia43084
5,CHN,Guangdong,Shenzhen,22.543096,114.057865,nvidia94453
6,CAN,PE,Toronto,43.6452002,-79.39537030000001,nvidia39689
7,IND,Maharashtra,More wadi,,,nvidia80819
8,USA,MA,Westford,42.57118759999999,-71.4137369,nvidia52431
9,TWN,Hsinchu City,East District,,,nvidia76941
10,USA,NC,Durham,35.9135487,-78.90286119999999,nvidia37233
11,USA,NJ,Holmdel,40.3651115,-74.16754279999999,nvidia28446
12,USA,WA,Redmond,47.70340520000001,-122.1537852,nvidia93906
13,IND,Telangana,Hyderabad,17.4159899,78.3434257,nvidia54809
14,USA,MO,St. Louis,38.62687330000001,-90.34599709999999,nvidia92583
15,USA,CO,Boulder,40.0155504,-105.2838623,nvidia98579
16,ITA,Metropolitan City of Milan,Milan,45.4875093,9.202471899999999,nvidia85585
17,USA,TX,Dallas,40.5326385,-105.0731513,nvidia87869
18,USA,UT,Salt Lake City,40.7241554,-111.8544387,nvidia64033
19,USA,AL,Madison,34.665993,-86.780152,nvidia76760
20,USA,OR,Hillsboro,45.5344542,-122.8867709,nvidia10813
21,USA,CA,East Foothills,37.3810508,-121.8174533,nvidia66476
